ProductDetailId,ProductId,DisplayTech,Resolution,DisplaySize,Touchscreen,CoverGlass,RearCameraRes,Film,Flash,AdvancedImageCapture,FrontCameraRes,OS,Chipset,CPUSpeed,GPU,RAM,ROM,MemCard,MemCardMax,2G,3G,4G,SIM,SIMType,Wifi,GPS,Bluetooth,NFC,Interface,Jack,Design,Material,Dimension,Weight,BatteryCapacity,BatteryType,VideoFileType,MusicFileType,AudioRecoder,Radio,Warranty,Other,Call,CPUManufacturer,CPUTech,CPUType,Cache,CPUMaxSpeed,BusSpeed,RAMMaxSupport,RAMType,RAMBus,StorageType,Storage,GPUMem,GPUDesign,AudioChannel,AddInfo,OpticalDisk,OpticalDiskType,ExtFeature,LAN,OtherWireless,CardReader,CardReaderType,WCRes,Battery,Software,Model,Color,CPU,GPUChipset,AudioTech,AudioStandard,DisplayConnector,USB,HDMI
1,1,LED-backlit IPS LCD,1080 x 1920 pixels,"5.5""",Cảm ứng điện dung đa điểm,Kính oleophobic (ion cường lực),12 MP,Quay phim 4K 2160p@30fps,Có,"Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, Nhận diện nụ cười, Chống rung quang học",5 MP,iOS 9,Apple A9 2 nhân 64-bit,1.8 GHz,PowerVR GT7600,2 GB,128 GB,Không,Không,GSM 850/900/1800/1900,HSDPA 850/900/1900/2100,4G LTE Cat 6,1 Sim,Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot","A-GPS, GLONASS","A2DP, V4.1",Có,Lightning,3.5 mm,Nguyên khối,Hợp kim nhôm,Dài 158.2 mm - Ngang 77.9 mm - Dày 7.3 mm,192 g,2750 mAh,Pin chuẩn Li-Po,"MP4, AVI, WMV, H.263, H.264(MPEG4-AVC),DivX, Xvid","AMR, MP3, WAV, WMA, eAAC+",Có,Không,12 Tháng,Mở khóa bằng vân tay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Super AMOLED,1440 x 2560 pixels,"5.5""",Cảm ứng điện dung đa điểm,Kính cường lực Gorilla Glass 4,12 MP,Quay phim 4K 2160p@60fps,Dual-tone LED,"Gắn thẻ địa lý, Tự động lấy nét, Chạm lấy nét,Nhận diện khuôn mặt, Nhận diện nụ cười, HDR,Panorama, Chống rung quang học, Chụp ảnh bằng giọng nói, Chụp bằng cử chỉ",5 MP,Android 6.0 (Marshmallow),Exynos 8890 8 nhân 64-bit,4 nhân 2.3 GHz và 4 nhân 1.6 GHz,Mali-T880 MP12,4 GB,32 GB,MicroSD,200 GB,GSM 850/900/1800/1900,HSDPA 850/900/1900/2100,4G LTE Cat 9,"2 SIM, SIM 2 chung khe thẻ nhớ",Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot","BDS, A-GPS, GLONASS","v4.2, apt-X, A2DP, LE",Có,Micro USB,3.5 mm,Nguyên khối,Khung kim loại + mặt kính cường lực,Dài 150.9 mm - Ngang 72.6 mm - Dày 7.7 mm,157 g,3600 mAh,Pin chuẩn Li-Ion,Có,Có,"Có, microphone chuyên dụng chống ồn",Không,12 Tháng,"Sạc pin nhanh, Sạc pin không dây, Chống nước, chống bụi, Mở khóa bằng vân tay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,AMOLED,1080 x 1920 pixels,"5""",Cảm ứng điện dung đa điểm,Kính cường lực Gorilla Glass 4,13 MP,Quay phim FullHD 1080p@30fps,Có,"Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, Nhận diện nụ cười, HDR, Panorama,Chống rung quang học",4 Ultra pixel,Android 6.0 (Marshmallow),Qualcomm Snapdragon 617 8 nhân 64-bit,4 nhân 1.5 GHz Cortex-A53 & 4 nhân1.2 GHz Cortex-A53,Adreno 405,2 GB,16 GB,MicroSD,2 TB,GSM 850/900/1800/1900,HSDPA 850/900/1900/2100,4G LTE Cat 7,1 Sim,Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot","A-GPS, GLONASS","apt-X, A2DP, V4.1",Có,Micro USB,3.5 mm,Nguyên khối,Hợp kim Nhôm + Magie,Dài 145.75 mm - Ngang 70.8 mm - Dày 7.26 mm,143 g,2150 mAh,Pin chuẩn Li-Ion,"MP4, H.264(MPEG4-AVC), DivX, Xvid","MP3, WAV, eAAC+","Có, microphone chuyên dụng chống ồn",Có,13 Tháng,"Mở khóa bằng vân tay, Dolby Audio™",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,IPS LCD,1440 x 2560 pixels,"5.3""",Cảm ứng điện dung đa điểm,Kính cường lực Gorilla Glass 4,16 MP và 8 MP (Hai camera),Quay phim 4K 2160p@30fps,Có,"Lấy nét bằng laser, Gắn thẻ địa lý, Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, Nhận diện nụ cười, HDR, Panorama, Chống rung quang học, Chụp ảnh bằng giọng nói, Chụp bằng cử chỉ, Manual Mode",8 MP,Android 6.0 (Marshmallow),Snapdragon 820 4 nhân 64-bit,2.2 GHz,Adreno 530,4 GB,32 GB,MicroSD,2 TB,GSM 850/900/1800/1900,HSDPA 850/900/1900/2100,4G LTE Cat 9,1 Sim,Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot","A-GPS, GLONASS","apt-X, A2DP, LE, V4.2",Có,USB Type-C,3.5 mm,Pin rời,Hợp kim Nhôm + Magie,Dài 149.4 mm - Ngang 73.9 mm - Dày 7.7 mm,159 g,2800 mAh,Lithium - Ion,"H.265, 3GP, MP4, H.264(MPEG4-AVC), DivX,WMV9, Xvid","MP3, WAV, WMA, eAAC+, OGG, AC3, FLAC",Không,Không,1 Năm,"Mở khóa bằng vân tay, Sạc pin không dây,Chạm 2 lần sáng màn hình, Sạc pin nhanh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,IPS LCD,2160 x 3840 Pixels,"5.5""",Cảm ứng điện dung đa điểm,Kính cường lực Gorilla Glass 4,23 MP,Quay phim 4K 2160p@30fps,Có,"Gắn thẻ địa lý, Tự động lấy nét, Chạm lấy nét,Nhận diện khuôn mặt, Nhận diện nụ cười, HDR,Panorama, Chụp ảnh bằng giọng nói, Manual Mode",5 MP,Android 5.1 (Lollipop),Snapdragon 810 8 nhân 64-bit,4 nhân 1.5 GHz Cortex-A53 & 4 nhân 2 GHz Cortex-A57,Adreno 430,3 GB,32 GB,MicroSD,200 GB,GSM 850/900/1800/1900,HSDPA 850/900/1900/2100,4G LTE Cat 6,2 SIM 2 sóng,Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot","A-GPS, GLONASS","A2DP, V4.1",Có,Micro USB,3.5 mm,Nguyên khối,Khung kim loại + mặt kính cường lực,Dài 154.4 mm - Rộng 76.0 mm - Dày 7.8 mm,180 g,3430 mAh,Pin chuẩn Li-Ion,"H.265, MP4, DivX","MP3, WAV, eAAC+, FLAC","Có, microphone chuyên dụng chống ồn",FM radio với RDS,1 Năm,"Mở khóa bằng vân tay, Sạc pin nhanh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
